Ai,Country,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
A1,Belgium,1.6,18,581.6,6.8,21.4,53.5,18.2,81.93,18.8,16.1
A2,Bulgaria,41.4,9.7,613.5,9.9,36.2,29.4,12.9,60.63,16.9,26.3
A3,Czechia,18.7,13.9,616.1,7,24.3,29.7,8.9,80.7,25.9,12
A4,Denmark,8.1,16.5,1052.3,3.1,18.3,47.4,16.1,96.5,19.1,7.7
A5,Germany (until 1990 former territory of the FRG),7,25.8,564.8,4.2,18.9,66.7,12.8,95.77,14.4,13.8
A6,Estonia,13.4,9.4,1540.5,5.1,13.4,28.3,13.4,82.61,21.8,11.8
A7,Ireland,3.8,8.2,961.3,3.4,13.2,39.8,13.6,60.56,16.7,10.9
A8,Greece,28.1,19.2,627.7,7.3,26.5,15.8,15.1,93.4,18.6,12.8
A9,Spain,5.5,15.7,572.9,3.6,23.5,30,15.2,84.68,18.6,10
A10,France,7.4,16.4,835.2,5.2,20.5,40.7,12.6,80.2,17.2,14.2
A11,Croatia,41.7,8.3,670.7,8.3,33.1,18,10.9,36.9,14.1,2.8
A12,Italy,27.8,18.3,471.5,5.6,32.7,44.3,24.1,59.6,18.6,19.4
A13,Cyprus,1.4,17.2,977.2,6.7,34.9,16.6,26.5,29.8,18.7,12
A14,Latvia,41.4,14.6,1297.2,9.5,19.9,28.7,24.4,73.35,19.3,11.8
A15,Lithuania,26.4,15.4,1053.1,8.3,21.7,33.1,17,72.28,10.8,4.6
A16,Luxembourg,6.8,20.1,511.7,6.3,21.4,47.4,14.4,96.6,17.1,14.9
A17,Hungary,41.1,13.7,704.3,6.5,26.9,32.2,25.4,76.47,31.8,10.6
A18,Netherlands,3.3,24.7,471.6,3.1,19.7,51.8,15.7,99.43,13.8,17.4
A19,Austria,15,17.5,703.6,5.5,20.8,56.9,11.7,95,21.3,12.9
A20,Poland,43.4,12.4,623.9,7.7,33,32.5,11.9,72.6,21.5,5.8
A21,Portugal,10.3,23,621.2,5.7,20.1,29.8,28.1,55.8,11.1,10.5
A22,Romania,49.7,22.2,364.8,9.6,27.7,13.2,12.8,39.7,22.1,13.1
A23,Slovenia,13.7,12.9,609.2,5.8,27.7,54.1,26.9,57.4,13.9,9.2
A24,Slovakia,37.8,12.8,536.2,5.7,23.9,14.9,6.3,63.6,24.2,7.3
A25,Finland,6.7,11.7,2458.7,4.9,11.3,40.6,4.4,85,15,7.3
A26,Sweden,13.9,12.6,2343.8,2.6,12.2,47.5,7.7,95,16.8,10.9
A27,United Kingdom,7.3,16.5,430.5,2.8,17.2,43.3,14.8,100,14.1,16.6
,Type,-1,-1,1,-1,-1,1,-1,1,1,-1
