Ai,2019 Utility,2019 Rank,Average Utility,Average Rank,Temporal Utility,Temporal Rank,Variability,Direction,,,,,,,,
A1,0.361688561,11,0.324745494,10,0.412661372,13,0.050972811,?,,,,,,,,
A2,0.927116732,26,0.88571974,26,0.958854555,26,0.031737822,?,,,,,,,,
A3,0.362747976,12,0.380399654,15,0.381941336,9,0.019193359,?,,,,,,,,
A4,0.252845184,5,0.216600497,4,0.303209554,6,0.050364369,?,,,,,,,,
A5,0.355254611,9,0.311521243,7,0.415879235,14,0.060624623,?,,,,,,,,
A6,0.205278225,3,0.228020003,5,0.166380223,2,0.038898002,?,,,,,,,,
A7,0.209758905,4,0.201483027,3,0.255248139,4,0.045489234,?,,,,,,,,
A8,0.669358744,22,0.592947244,20,0.719719099,22,0.050360355,?,,,,,,,,
A9,0.347896565,8,0.31822672,9,0.395127403,10,0.047230838,?,,,,,,,,
A10,0.326587774,7,0.290335208,6,0.377338975,8,0.050751201,?,,,,,,,,
A11,0.772750579,24,0.791751196,24,0.762320205,24,0.010430374,?,,,,,,,,
A12,0.590234518,20,0.563784606,19,0.634249795,21,0.044015277,?,,,,,,,,
A13,0.386666246,14,0.362900469,14,0.411305565,12,0.024639319,?,,,,,,,,
A14,0.817234808,25,0.780934658,23,0.882775303,25,0.065540495,?,,,,,,,,
A15,0.434342861,18,0.460825754,18,0.493702228,18,0.059359367,?,,,,,,,,
A16,0.357402876,10,0.339944069,12,0.421406789,15,0.064003914,?,,,,,,,,
A17,0.411623454,16,0.700876901,22,0.246091413,3,0.165532041,?,,,,,,,,
A18,0.399531337,15,0.337511946,11,0.461565954,17,0.062034616,?,,,,,,,,
A19,0.325413348,6,0.311709663,8,0.375701988,7,0.05028864,?,,,,,,,,
A20,0.755717966,23,0.79593493,25,0.733417619,23,0.022300347,?,,,,,,,,
A21,0.414122722,17,0.413832606,17,0.450129926,16,0.036007204,?,,,,,,,,
A22,1,27,1,27,1,27,0,?,,,,,,,,
A23,0.375517529,13,0.389936199,16,0.401866783,11,0.026349254,?,,,,,,,,
A24,0.631009629,21,0.682390256,21,0.605809037,20,0.025200592,?,,,,,,,,
A25,0,1,0,1,0,1,0,?,,,,,,,,
A26,0.200478885,2,0.124415579,2,0.263999634,5,0.063520749,?,,,,,,,,
A27,0.439579236,19,0.357730927,13,0.504383272,19,0.064804036,?,,,,,,,,
