Ai,2012,2013,2014,2015,2016,2017,2018,2019
A1,10,11,9,9,10,9,10,11
A2,26,26,26,26,26,26,26,26
A3,18,16,15,15,15,14,11,12
A4,4,4,4,4,5,5,5,5
A5,5,6,7,7,9,10,9,9
A6,11,13,5,3,3,3,2,3
A7,3,3,3,5,4,4,3,4
A8,20,20,19,19,20,20,21,22
A9,9,9,11,10,11,7,8,8
A10,6,5,6,6,6,6,7,7
A11,24,23,23,24,24,24,24,24
A12,19,18,20,20,19,19,20,20
A13,16,14,14,12,8,12,15,14
A14,21,21,22,23,25,25,25,25
A15,17,19,18,18,17,18,19,18
A16,8,10,10,14,13,15,13,10
A17,23,24,24,22,23,23,16,16
A18,12,8,12,11,12,11,14,15
A19,7,7,8,8,7,8,6,6
A20,25,25,25,25,22,22,23,23
A21,14,17,17,17,18,17,17,17
A22,27,27,27,27,27,27,27,27
A23,15,15,16,16,16,16,12,13
A24,22,22,21,21,21,21,22,21
A25,1,1,1,1,1,1,1,1
A26,2,2,2,2,2,2,4,2
A27,13,12,13,13,14,13,18,19
