Ai,2012,2013,2014,2015,2016,2017,2018,2019
A1,0.21933375459241344,0.25185289538551225,0.2697866709241423,0.32661567565037664,0.35299006526879023,0.3534370165444581,0.33978405749650387,0.3616885609545425
A2,0.8520873937170065,0.8468750550799697,0.8930517768684597,0.8491238911871359,0.893841455450841,0.9110461708787054,0.9260523973585473,0.9271167324779133
A3,0.349460326860658,0.34990616976939104,0.35847648395462484,0.39159641776222376,0.4026356638365509,0.3858433426483301,0.35759305489940496,0.36274797618255405
A4,0.12100218872322907,0.1351821789711673,0.16290597453420702,0.2165052261343658,0.24768540843473175,0.24771245155244873,0.2296999352618761,0.2528451842626702
A5,0.1973022260835397,0.22182899761514147,0.2486302442778601,0.31528966416954446,0.3489130275611073,0.3543724041885866,0.3389609842658129,0.35525461138790937
A6,0.22794729220663001,0.3196331620447925,0.2052859395037134,0.2054715430466377,0.2114435696349967,0.19724189325766917,0.19033645545695185,0.20527822527021244
A7,0.1043634869064311,0.13077996468156522,0.15891775359894345,0.2169396476621066,0.23765237939053568,0.22721382925613762,0.20079723437409772,0.20975890486773363
A8,0.519114117956286,0.5397682766381079,0.5461832351121754,0.5789311306156464,0.6089314561962609,0.6304383072125395,0.6392474473771201,0.6693587441765187
A9,0.21915230504496563,0.24805183068485612,0.2777811488467037,0.32663057933317996,0.35369540651679476,0.3380539302801236,0.33186351964297156,0.34789656480761955
A10,0.20347273872359742,0.20937464788689747,0.23207668241199875,0.29325397807230935,0.3299096980151772,0.31967507342363227,0.31277222358602164,0.32658777400500816
A11,0.7977717329923597,0.7793090180671178,0.7823874145424325,0.790723368731767,0.7969978583203086,0.8063414358118962,0.7840608074466628,0.7727505789083743
A12,0.46876702134994463,0.5016569746057015,0.5529574434727029,0.6022339126981927,0.5889537039072901,0.5749168017538893,0.5691709122014552,0.5902345182290338
A13,0.3289743275746871,0.33316061848594236,0.3178459293760587,0.34713877470173193,0.3482076513002683,0.37546466019187075,0.38391264926649954,0.3866662463505337
A14,0.6716953878563716,0.6780005250064202,0.7763171803744493,0.780126393696448,0.8122160267661274,0.8103559242427975,0.8744424703267484,0.8172348082845282
A15,0.33249246489909656,0.504699129768144,0.53400226750171,0.500232160056009,0.43932769224071383,0.4690264546000606,0.41540848520311024,0.4343428613381175
A16,0.21660703638469622,0.24810010778447705,0.2756914804021683,0.3562784954416607,0.3932579012159471,0.3912558704218514,0.3650302269772979,0.3574028756213262
A17,0.7746988725180213,0.7811848651306716,0.7950428329364816,0.7762187238558633,0.7786762506126594,0.7996538425925992,0.39355339794064936,0.41162345377624643
A18,0.22953782367128484,0.24181059997403834,0.2801803966067534,0.33740140508173133,0.3755346897703429,0.3666308700611875,0.3775044272980769,0.39953133712706335
A19,0.21110429477605624,0.23210062805821588,0.2613602653642216,0.32655077938747434,0.34798114675924197,0.35252059808630243,0.3033124568921331,0.3254133479621536
A20,0.8295168908384001,0.8049800118520853,0.8125494568111615,0.7970673838212013,0.7713680922019475,0.7988900077484118,0.7784167224457086,0.7557179663993787
A21,0.32038171222570555,0.3736467562991969,0.3921291827911357,0.42419285514563077,0.44419094663726266,0.42340502863464635,0.39834391772966216,0.4141227222692252
A22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
A23,0.3273495806291118,0.3443683208655305,0.3782933768544372,0.39816487790443866,0.4098609751636676,0.3967811617661081,0.36444662269520023,0.37551752864616883
A24,0.6736179172510006,0.6940571942094051,0.7075029500701756,0.6905672694326062,0.6943340647464025,0.6910022760095014,0.6443554666358196,0.6310096291243904
A25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A26,0.03670038979620076,0.035333483163357104,0.06102881312155535,0.11741240495229191,0.15050179765430777,0.14579490401724188,0.20143076890280556,0.20047888479991038
A27,0.2546756239944863,0.26583627616273164,0.2967335315507754,0.348836689186248,0.3958051481370551,0.3819930073716513,0.4087289509836326,0.43957923598424814
