Ai,Pref,Rank
$A_{1}$,0.32474549420597043,10
$A_{2}$,0.8857197404255532,26
$A_{3}$,0.38039965440649526,15
$A_{4}$,0.216600496957442,4
$A_{5}$,0.3115212425886854,7
$A_{6}$,0.22802000266376737,5
$A_{7}$,0.2014830272320957,3
$A_{8}$,0.5929472442638892,20
$A_{9}$,0.31822672042529654,9
$A_{10}$,0.2903352077598188,6
$A_{11}$,0.7917511963339854,24
$A_{12}$,0.563784606219051,19
$A_{13}$,0.36290046881807764,14
$A_{14}$,0.7809346584879635,23
$A_{15}$,0.46082575402886095,18
$A_{16}$,0.33994406855644366,12
$A_{17}$,0.7008769013517124,22
$A_{18}$,0.33751194617105074,11
$A_{19}$,0.31170966278103956,8
$A_{20}$,0.7959349298478012,25
$A_{21}$,0.413832606192721,17
$A_{22}$,1.0,27
$A_{23}$,0.3899361988027016,16
$A_{24}$,0.6823902560214098,21
$A_{25}$,0.0,1
$A_{26}$,0.12441557892078786,2
$A_{27}$,0.3577309274774373,13
