Ai,2012,2013,2014,2015,2016,2017,2018,2019
$A_{1}$,10,11,9,9,10,9,10,11
$A_{2}$,26,26,26,26,26,26,26,26
$A_{3}$,18,16,15,15,15,14,11,12
$A_{4}$,4,4,4,4,5,5,5,5
$A_{5}$,5,6,7,7,9,10,9,9
$A_{6}$,11,13,5,3,3,3,2,3
$A_{7}$,3,3,3,5,4,4,3,4
$A_{8}$,20,20,19,19,20,20,21,22
$A_{9}$,9,9,11,10,11,7,8,8
$A_{10}$,6,5,6,6,6,6,7,7
$A_{11}$,24,23,23,24,24,24,24,24
$A_{12}$,19,18,20,20,19,19,20,20
$A_{13}$,16,14,14,12,8,12,15,14
$A_{14}$,21,21,22,23,25,25,25,25
$A_{15}$,17,19,18,18,17,18,19,18
$A_{16}$,8,10,10,14,13,15,13,10
$A_{17}$,23,24,24,22,23,23,16,16
$A_{18}$,12,8,12,11,12,11,14,15
$A_{19}$,7,7,8,8,7,8,6,6
$A_{20}$,25,25,25,25,22,22,23,23
$A_{21}$,14,17,17,17,18,17,17,17
$A_{22}$,27,27,27,27,27,27,27,27
$A_{23}$,15,15,16,16,16,16,12,13
$A_{24}$,22,22,21,21,21,21,22,21
$A_{25}$,1,1,1,1,1,1,1,1
$A_{26}$,2,2,2,2,2,2,4,2
$A_{27}$,13,12,13,13,14,13,18,19
